username,password
perf542,123qwe
perf155,123qwe
perf505,123qwe
perf443,123qwe
perf426,123qwe
perf461,123qwe
perf509,123qwe
perf536,123qwe
perf520,123qwe
perf462,123qwe
perf528,123qwe
perf450,123qwe
perf470,123qwe
perf485,123qwe
perf555,123qwe
perf557,123qwe
perf448,123qwe
perf457,123qwe
perf499,123qwe
perf552,123qwe
perf476,123qwe
perf456,123qwe
perf487,123qwe
perf415,123qwe
perf495,123qwe
perf560,123qwe
perf415,123qwe
perf442,123qwe
perf507,123qwe
perf524,123qwe
perf415,123qwe
perf409,123qwe
perf480,123qwe
perf513,123qwe
perf550,123qwe
perf427,123qwe
perf418,123qwe
perf416,123qwe
perf414,123qwe
perf537,123qwe
perf520,123qwe
perf559,123qwe
perf490,123qwe
perf482,123qwe
perf429,123qwe
perf477,123qwe
perf488,123qwe
perf502,123qwe
perf491,123qwe
perf506,123qwe
perf411,123qwe
perf480,123qwe
perf483,123qwe
perf541,123qwe
perf547,123qwe
perf463,123qwe
perf557,123qwe
perf435,123qwe
perf522,123qwe
perf547,123qwe
perf503,123qwe
perf422,123qwe
perf467,123qwe
perf539,123qwe
perf513,123qwe
perf548,123qwe
perf462,123qwe
perf491,123qwe
perf509,123qwe
perf483,123qwe
perf416,123qwe
perf556,123qwe
perf558,123qwe
perf427,123qwe
perf513,123qwe
perf453,123qwe
perf464,123qwe
perf509,123qwe
perf490,123qwe
perf455,123qwe
perf553,123qwe
perf467,123qwe
perf503,123qwe
perf529,123qwe
perf497,123qwe
perf402,123qwe
perf500,123qwe
perf522,123qwe
perf539,123qwe
perf491,123qwe
perf431,123qwe
perf493,123qwe
perf485,123qwe
perf489,123qwe
perf556,123qwe
perf497,123qwe
perf463,123qwe
perf457,123qwe
perf441,123qwe
perf474,123qwe
perf515,123qwe
